Gene ID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
ENSG00000000003.15,44,29,8,9,5,554,30,1,19,12,0,3,146,11,20,7,1,457,5,2,19,25,50,4,8,1,93,9,25,5,3,10,10,3,12,18,5,75,24,12
ENSG00000000005.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419.13,1003,694,548,756,533,3154,1575,780,756,869,459,547,635,2774,539,257,566,575,490,323,1708,1281,1107,2165,875,984,432,892,471,1007,1267,930,979,931,721,618,564,2429,962,971
ENSG00000000457.14,787,695,592,463,182,858,302,309,231,753,228,522,549,191,219,93,406,350,93,249,388,1067,361,445,225,614,171,526,561,356,184,154,456,182,185,316,473,811,362,435
ENSG00000000460.17,201,475,720,123,183,738,431,317,336,232,342,475,223,265,260,239,470,282,97,287,625,1085,75,241,215,335,149,258,392,211,226,110,200,313,197,244,242,1569,162,350
ENSG00000000938.13,503,3057,3537,1400,10512,568,734,7256,4983,33873,6631,145,5292,9354,5025,519,15501,435,1459,209,2852,4816,7430,22769,473,685,2069,1475,1221,521,3185,1069,4690,4735,5360,9468,3333,11040,4626,5724
ENSG00000000971.16,583,154,72,15,6,181,144,181,305,7,3,41,124,29,118,97,19,4795,16,37,1257,139,126,8,22,9,20,137,27,475,8,87,2,18,7,45,5,528,659,60
ENSG00000001036.14,510,963,1166,145,296,1791,969,1011,737,392,361,900,498,2517,816,355,726,1170,842,703,4064,1037,858,8416,330,589,471,375,1128,641,2648,1199,347,346,391,307,432,2336,279,406
ENSG00000001084.13,1176,1836,1208,1350,791,2791,2909,1419,2428,721,585,864,1511,1735,2526,296,455,1686,729,660,1187,3124,1194,2623,1196,2331,2398,1525,1629,2460,1837,1850,1028,1120,917,1102,1064,21850,2249,746
ENSG00000001167.14,872,1176,2216,545,1428,4519,4325,1583,1388,1507,486,6524,1088,2277,1044,409,823,1032,161,1845,1592,2852,821,2567,1786,5600,724,756,1871,840,3018,853,931,1190,957,1075,414,4433,952,602
ENSG00000001460.18,141,181,241,118,62,86,278,118,164,171,42,378,158,107,97,49,163,71,43,81,278,266,85,291,58,262,102,89,311,104,177,96,127,28,60,105,62,468,144,140
ENSG00000001461.17,626,1632,2347,510,549,781,1759,1397,585,2790,190,2145,852,415,663,302,770,439,158,895,1256,1564,291,1620,554,1389,298,1331,1942,498,662,427,1671,276,471,627,580,2822,716,720
ENSG00000001497.18,3583,2328,3042,1395,1489,8916,5349,3523,2288,3842,1299,3032,2357,2667,2105,958,1649,2754,788,1957,3379,2126,887,3212,1281,2579,1510,1780,3146,2063,3397,2164,2038,786,1862,1273,1212,4538,1402,1707
ENSG00000001561.7,208,617,103,186,92,753,198,252,978,610,1015,442,767,1777,328,125,212,1063,1110,504,714,1066,1334,881,296,1623,1366,483,680,1345,3097,1950,950,563,1621,2381,250,2744,917,513
ENSG00000001617.12,2011,93,47,412,165,82,100,160,921,378,541,467,469,547,42,65,158,876,38,9,502,145,1739,255,214,9,193,107,115,58,47,363,158,689,163,269,217,79,411,794
